Priority,Type,Institute,BranchCode,Branch,Reach,Reason
46,NIT,"National Institute of Technology, Rourkela",4155,Industrial Design,Out,"Top-5 NIT, South/Central India, reachable. Production/Industrial — core; decent at top NITs. dream — closes ~24030 (above his rank), zero cost to list on top."
47,NIT,"National Institute of Technology, Rourkela",4107,Chemical Engineering,Reach,"Top-5 NIT, South/Central India, reachable. Chemical — core; lab/process, brand carries it. reach — just short (~788); free to list."
48,NIT,"National Institute of Technology, Rourkela",5210,Chemical Engineering,No-data,"Top-5 NIT, South/Central India, reachable. Chemical — core; lab/process, brand carries it. no PwD cutoff history; listed on merit."
49,NIT,"National Institute of Technology, Rourkela",4106,Ceramic Engineering,SAFE,"Top-5 NIT, South/Central India, reachable. core/other branch — backup at a good brand. SAFE — clears comfortably (closes ~2228)."
50,NIT,"National Institute of Technology, Rourkela",4169,Food Process Engineering,Out,"Top-5 NIT, South/Central India, reachable. core/other branch — backup at a good brand. dream — closes ~40010 (above his rank), zero cost to list on top."
51,NIT,"National Institute of Technology, Rourkela",4130,Mining Engineering,Out,"Top-5 NIT, South/Central India, reachable. core/other branch — backup at a good brand. dream — closes ~35731 (above his rank), zero cost to list on top."
52,NIT,"National Institute of Technology, Rourkela",5247,Mining Engineering,Out,"Top-5 NIT, South/Central India, reachable. core/other branch — backup at a good brand. dream — closes ~41212 (above his rank), zero cost to list on top."
53,NIT,"National Institute of Technology, Rourkela",4127,Metallurgical and Materials Engineering,Good,"Top-5 NIT, South/Central India, reachable. Metallurgy/Materials — core; brand-dependent. likely — clears with margin (~641)."
54,NIT,"National Institute of Technology, Rourkela",5243,Metallurgical and Materials Engineering,Out,"Top-5 NIT, South/Central India, reachable. Metallurgy/Materials — core; brand-dependent. dream — closes ~13259 (above his rank), zero cost to list on top."
55,NIT,"National Institute of Technology, Rourkela",4109,Civil Engineering,Borderline,"Top-5 NIT, South/Central India, reachable. Civil — core, more field-oriented (weigh his mobility). borderline — right at the line (~427)."
56,NIT,"National Institute of Technology, Rourkela",4152,Bio Medical Engineering,Out,"Top-5 NIT, South/Central India, reachable. Biotech — softer market; only as backup at a good brand. dream — closes ~13278 (above his rank), zero cost to list on top."
57,NIT,"National Institute of Technology, Rourkela",4104,Bio Technology,Good,"Top-5 NIT, South/Central India, reachable. Biotech — softer market; only as backup at a good brand. likely — clears with margin (~1531)."
58,NIT,"National Institute of Technology, Rourkela",5503,Chemistry,Out,"Top-5 NIT, South/Central India, reachable. 5-yr integrated science — niche; backup only. dream — closes ~43806 (above his rank), zero cost to list on top."
59,NIT,"National Institute of Technology, Rourkela",4117,Engineering Physics,No-data,"Top-5 NIT, South/Central India, reachable. 5-yr integrated science — niche; backup only. no PwD cutoff history; listed on merit."
60,NIT,National Institute of Technology Calicut,4110,Computer Science and Engineering,Out,"Top-5 NIT, farther, but brand justifies. CSE — best placements & most accessible career for his condition. dream — closes ~98 (above his rank), zero cost to list on top."
61,NIT,National Institute of Technology Calicut,4114,Electronics and Communication Engineering,Out,"Top-5 NIT, farther, but brand justifies. ECE — strong circuit branch, software-convertible. dream — closes ~170 (above his rank), zero cost to list on top."
62,NIT,National Institute of Technology Calicut,4144,Electrical and Electronics Engineering,Out,"Top-5 NIT, farther, but brand justifies. EEE — solid circuit branch, software-convertible. dream — closes ~264 (above his rank), zero cost to list on top."
63,NIT,National Institute of Technology Calicut,4125,Mechanical Engineering,Borderline,"Top-5 NIT, farther, but brand justifies. Mechanical — core; classroom/design-heavy, manageable; can pivot to software. borderline — right at the line (~428)."
64,NIT,National Institute of Technology Calicut,4145,Production Engineering,SAFE,"Top-5 NIT, farther, but brand justifies. Production/Industrial — core; decent at top NITs. SAFE — clears comfortably (closes ~1002)."
65,NIT,National Institute of Technology Calicut,4107,Chemical Engineering,Good,"Top-5 NIT, farther, but brand justifies. Chemical — core; lab/process, brand carries it. likely — clears with margin (~573)."
66,NIT,National Institute of Technology Calicut,4198,Energy Engineering,Good,"Top-5 NIT, farther, but brand justifies. core/other branch — backup at a good brand. likely — clears with margin (~630)."
67,NIT,National Institute of Technology Calicut,4123,Materials Science and Engineering,Good,"Top-5 NIT, farther, but brand justifies. Metallurgy/Materials — core; brand-dependent. likely — clears with margin (~1433)."
68,NIT,National Institute of Technology Calicut,4109,Civil Engineering,Borderline,"Top-5 NIT, farther, but brand justifies. Civil — core, more field-oriented (weigh his mobility). borderline — right at the line (~434)."
69,NIT,National Institute of Technology Calicut,4104,Bio Technology,Reach,"Top-5 NIT, farther, but brand justifies. Biotech — softer market; only as backup at a good brand. reach — just short (~355); free to list."
70,NIT,National Institute of Technology Calicut,5A09,B. Tech. (Mathematics & Computing) M. Tech. in (Mathematics & Computing),No-data,"Top-5 NIT, farther, but brand justifies. 5-yr integrated science — niche; backup only. no PwD cutoff history; listed on merit."
71,NIT,National Institute of Technology Calicut,4117,Engineering Physics,Good,"Top-5 NIT, farther, but brand justifies. 5-yr integrated science — niche; backup only. likely — clears with margin (~1671)."
72,NIT,"Visvesvaraya National Institute of Technology, Nagpur",4110,Computer Science and Engineering,Out,"Top-15 NIT, South/Central India, reachable. CSE — best placements & most accessible career for his condition. dream — closes ~122 (above his rank), zero cost to list on top."
73,NIT,"Visvesvaraya National Institute of Technology, Nagpur",413Z,Computer Science and Engineering (Artificial Intelligence and Data Science),No-data,"Top-15 NIT, South/Central India, reachable. CSE+AI/DS — elite software placements, ideal desk-role fit. no PwD cutoff history; listed on merit."
74,NIT,"Visvesvaraya National Institute of Technology, Nagpur",4124,Mathematics and Computing,No-data,"Top-15 NIT, South/Central India, reachable. Maths & Computing — places like CSE, strong analytics/software path. no PwD cutoff history; listed on merit."
75,NIT,"Visvesvaraya National Institute of Technology, Nagpur",411H,Electronics Engineering (VLSI Design and Technology),No-data,"Top-15 NIT, South/Central India, reachable. ECE-VLSI — chip/embedded, good placements, desk-based. no PwD cutoff history; listed on merit."
76,NIT,"Visvesvaraya National Institute of Technology, Nagpur",4114,Electronics and Communication Engineering,Out,"Top-15 NIT, South/Central India, reachable. ECE — strong circuit branch, software-convertible. dream — closes ~200 (above his rank), zero cost to list on top."
77,NIT,"Visvesvaraya National Institute of Technology, Nagpur",4144,Electrical and Electronics Engineering,Good,"Top-15 NIT, South/Central India, reachable. EEE — solid circuit branch, software-convertible. likely — clears with margin (~516)."
78,NIT,"Visvesvaraya National Institute of Technology, Nagpur",4125,Mechanical Engineering,Good,"Top-15 NIT, South/Central India, reachable. Mechanical — core; classroom/design-heavy, manageable; can pivot to software. likely — clears with margin (~487)."
79,NIT,"Visvesvaraya National Institute of Technology, Nagpur",4107,Chemical Engineering,SAFE,"Top-15 NIT, South/Central India, reachable. Chemical — core; lab/process, brand carries it. SAFE — clears comfortably (closes ~1179)."
80,NIT,"Visvesvaraya National Institute of Technology, Nagpur",413Y,Chemical Technology (Bioprocess Technology),No-data,"Top-15 NIT, South/Central India, reachable. Chemical — core; lab/process, brand carries it. no PwD cutoff history; listed on merit."
81,NIT,"Visvesvaraya National Institute of Technology, Nagpur",4130,Mining Engineering,Out,"Top-15 NIT, South/Central India, reachable. core/other branch — backup at a good brand. dream — closes ~45731 (above his rank), zero cost to list on top."
82,NIT,"Visvesvaraya National Institute of Technology, Nagpur",4127,Metallurgical and Materials Engineering,SAFE,"Top-15 NIT, South/Central India, reachable. Metallurgy/Materials — core; brand-dependent. SAFE — clears comfortably (closes ~843)."
83,NIT,"Visvesvaraya National Institute of Technology, Nagpur",4109,Civil Engineering,SAFE,"Top-15 NIT, South/Central India, reachable. Civil — core, more field-oriented (weigh his mobility). SAFE — clears comfortably (closes ~1047)."
84,NIT,"Visvesvaraya National Institute of Technology, Nagpur",4117,Engineering Physics,No-data,"Top-15 NIT, South/Central India, reachable. 5-yr integrated science — niche; backup only. no PwD cutoff history; listed on merit."
85,NIT,Malaviya National Institute of Technology Jaipur,4110,Computer Science and Engineering,Out,"Top-15 NIT, farther, but brand justifies. CSE — best placements & most accessible career for his condition. dream — closes ~74 (above his rank), zero cost to list on top."
86,NIT,Malaviya National Institute of Technology Jaipur,411G,Artificial Intelligence and Data Engineering,Out,"Top-15 NIT, farther, but brand justifies. AI/Data Science — high-demand software track. dream — closes ~2522 (above his rank), zero cost to list on top."
87,NIT,Malaviya National Institute of Technology Jaipur,4124,Mathematics and Computing,No-data,"Top-15 NIT, farther, but brand justifies. Maths & Computing — places like CSE, strong analytics/software path. no PwD cutoff history; listed on merit."
88,NIT,Malaviya National Institute of Technology Jaipur,4114,Electronics and Communication Engineering,Out,"Top-15 NIT, farther, but brand justifies. ECE — strong circuit branch, software-convertible. dream — closes ~90 (above his rank), zero cost to list on top."
89,NIT,Malaviya National Institute of Technology Jaipur,4111,Electrical Engineering,Good,"Top-15 NIT, farther, but brand justifies. EEE — solid circuit branch, software-convertible. likely — clears with margin (~507)."
90,NIT,Malaviya National Institute of Technology Jaipur,4125,Mechanical Engineering,Borderline,"Top-15 NIT, farther, but brand justifies. Mechanical — core; classroom/design-heavy, manageable; can pivot to software. borderline — right at the line (~1006)."
91,NIT,Malaviya National Institute of Technology Jaipur,4107,Chemical Engineering,SAFE,"Top-15 NIT, farther, but brand justifies. Chemical — core; lab/process, brand carries it. SAFE — clears comfortably (closes ~840)."
92,NIT,Malaviya National Institute of Technology Jaipur,4127,Metallurgical and Materials Engineering,Good,"Top-15 NIT, farther, but brand justifies. Metallurgy/Materials — core; brand-dependent. likely — clears with margin (~1277)."
93,NIT,Malaviya National Institute of Technology Jaipur,4109,Civil Engineering,Reach,"Top-15 NIT, farther, but brand justifies. Civil — core, more field-oriented (weigh his mobility). reach — just short (~832); free to list."
94,NIT,Malaviya National Institute of Technology Jaipur,4117,Engineering Physics,No-data,"Top-15 NIT, farther, but brand justifies. 5-yr integrated science — niche; backup only. no PwD cutoff history; listed on merit."
95,NIT,Motilal Nehru National Institute of Technology Allahabad,4110,Computer Science and Engineering,Out,"Top-15 NIT, farther, but brand justifies. CSE — best placements & most accessible career for his condition. dream — closes ~79 (above his rank), zero cost to list on top."
96,NIT,Motilal Nehru National Institute of Technology Allahabad,4124,Mathematics and Computing,No-data,"Top-15 NIT, farther, but brand justifies. Maths & Computing — places like CSE, strong analytics/software path. no PwD cutoff history; listed on merit."
97,NIT,Motilal Nehru National Institute of Technology Allahabad,4114,Electronics and Communication Engineering,Out,"Top-15 NIT, farther, but brand justifies. ECE — strong circuit branch, software-convertible. dream — closes ~184 (above his rank), zero cost to list on top."
98,NIT,Motilal Nehru National Institute of Technology Allahabad,4111,Electrical Engineering,Reach,"Top-15 NIT, farther, but brand justifies. EEE — solid circuit branch, software-convertible. reach — just short (~361); free to list."
99,NIT,Motilal Nehru National Institute of Technology Allahabad,4125,Mechanical Engineering,Borderline,"Top-15 NIT, farther, but brand justifies. Mechanical — core; classroom/design-heavy, manageable; can pivot to software. borderline — right at the line (~403)."
100,NIT,Motilal Nehru National Institute of Technology Allahabad,4107,Chemical Engineering,Good,"Top-15 NIT, farther, but brand justifies. Chemical — core; lab/process, brand carries it. likely — clears with margin (~750)."
101,NIT,Motilal Nehru National Institute of Technology Allahabad,4192,Engineering and Computational Mechanics,Out,"Top-15 NIT, farther, but brand justifies. core/other branch — backup at a good brand. dream — closes ~5065 (above his rank), zero cost to list on top."
102,NIT,Motilal Nehru National Institute of Technology Allahabad,412H,Materials Engineering,No-data,"Top-15 NIT, farther, but brand justifies. Metallurgy/Materials — core; brand-dependent. no PwD cutoff history; listed on merit."
103,NIT,Motilal Nehru National Institute of Technology Allahabad,4109,Civil Engineering,Reach,"Top-15 NIT, farther, but brand justifies. Civil — core, more field-oriented (weigh his mobility). reach — just short (~736); free to list."
104,NIT,Motilal Nehru National Institute of Technology Allahabad,4104,Bio Technology,SAFE,"Top-15 NIT, farther, but brand justifies. Biotech — softer market; only as backup at a good brand. SAFE — clears comfortably (closes ~2420)."
105,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",4110,Computer Science and Engineering,Out,"Top-15 NIT, farther, but brand justifies. CSE — best placements & most accessible career for his condition. dream — closes ~175 (above his rank), zero cost to list on top."
106,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",4185,Artificial Intelligence,Out,"Top-15 NIT, farther, but brand justifies. AI/Data Science — high-demand software track. dream — closes ~183 (above his rank), zero cost to list on top."
107,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",5B06,Artificial Intelligence,Out,"Top-15 NIT, farther, but brand justifies. AI/Data Science — high-demand software track. dream — closes ~473 (above his rank), zero cost to list on top."
108,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",4124,Mathematics and Computing,Reach,"Top-15 NIT, farther, but brand justifies. Maths & Computing — places like CSE, strong analytics/software path. reach — just short (~306); free to list."
109,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",410V,Electronics and VLSI Engineering,Borderline,"Top-15 NIT, farther, but brand justifies. ECE-VLSI — chip/embedded, good placements, desk-based. borderline — right at the line (~1105)."
110,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",4114,Electronics and Communication Engineering,Borderline,"Top-15 NIT, farther, but brand justifies. ECE — strong circuit branch, software-convertible. borderline — right at the line (~439)."
111,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",4111,Electrical Engineering,Good,"Top-15 NIT, farther, but brand justifies. EEE — solid circuit branch, software-convertible. likely — clears with margin (~611)."
112,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",4125,Mechanical Engineering,SAFE,"Top-15 NIT, farther, but brand justifies. Mechanical — core; classroom/design-heavy, manageable; can pivot to software. SAFE — clears comfortably (closes ~814)."
113,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",410B,Industrial Chemistry,SAFE,"Top-15 NIT, farther, but brand justifies. Production/Industrial — core; decent at top NITs. SAFE — clears comfortably (closes ~3431)."
114,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",4107,Chemical Engineering,SAFE,"Top-15 NIT, farther, but brand justifies. Chemical — core; lab/process, brand carries it. SAFE — clears comfortably (closes ~1395)."
115,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",4109,Civil Engineering,Good,"Top-15 NIT, farther, but brand justifies. Civil — core, more field-oriented (weigh his mobility). likely — clears with margin (~740)."
116,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",5H3C,Chemistry,No-data,"Top-15 NIT, farther, but brand justifies. 5-yr integrated science — niche; backup only. no PwD cutoff history; listed on merit."
117,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",4117,Engineering Physics,SAFE,"Top-15 NIT, farther, but brand justifies. 5-yr integrated science — niche; backup only. SAFE — clears comfortably (closes ~2141)."
118,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",5H3E,Mathematics,No-data,"Top-15 NIT, farther, but brand justifies. 5-yr integrated science — niche; backup only. no PwD cutoff history; listed on merit."
119,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",5H3D,Physics,No-data,"Top-15 NIT, farther, but brand justifies. 5-yr integrated science — niche; backup only. no PwD cutoff history; listed on merit."
120,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",4110,Computer Science and Engineering,Reach,"Top-15 NIT, farther, but brand justifies. CSE — best placements & most accessible career for his condition. reach — just short (~795); free to list."
121,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",4124,Mathematics and Computing,No-data,"Top-15 NIT, farther, but brand justifies. Maths & Computing — places like CSE, strong analytics/software path. no PwD cutoff history; listed on merit."
122,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",4146,Information Technology,Borderline,"Top-15 NIT, farther, but brand justifies. IT — software-default, desk-based. borderline — right at the line (~424)."
123,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",4153,Electronics and Telecommunication Engineering,Good,"Top-15 NIT, farther, but brand justifies. Electronics — circuit branch, desk-based. likely — clears with margin (~685)."
124,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",4111,Electrical Engineering,SAFE,"Top-15 NIT, farther, but brand justifies. EEE — solid circuit branch, software-convertible. SAFE — clears comfortably (closes ~2208)."
125,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",4125,Mechanical Engineering,SAFE,"Top-15 NIT, farther, but brand justifies. Mechanical — core; classroom/design-heavy, manageable; can pivot to software. SAFE — clears comfortably (closes ~3780)."
126,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",4101,Aerospace Engineering,Good,"Top-15 NIT, farther, but brand justifies. core/other branch — backup at a good brand. likely — clears with margin (~519)."
127,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",5501,Applied Geology,No-data,"Top-15 NIT, farther, but brand justifies. core/other branch — backup at a good brand. no PwD cutoff history; listed on merit."
128,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",4130,Mining Engineering,Out,"Top-15 NIT, farther, but brand justifies. core/other branch — backup at a good brand. dream — closes ~58114 (above his rank), zero cost to list on top."
129,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",4156,Metallurgy and Materials Engineering,SAFE,"Top-15 NIT, farther, but brand justifies. Metallurgy/Materials — core; brand-dependent. SAFE — clears comfortably (closes ~3875)."
130,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",4109,Civil Engineering,SAFE,"Top-15 NIT, farther, but brand justifies. Civil — core, more field-oriented (weigh his mobility). SAFE — clears comfortably (closes ~2945)."
131,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",5503,Chemistry,No-data,"Top-15 NIT, farther, but brand justifies. 5-yr integrated science — niche; backup only. no PwD cutoff history; listed on merit."
132,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",5507,Physics,No-data,"Top-15 NIT, farther, but brand justifies. 5-yr integrated science — niche; backup only. no PwD cutoff history; listed on merit."
133,NIT,National Institute of Technology Durgapur,4110,Computer Science and Engineering,Out,"Top-15 NIT, farther, but brand justifies. CSE — best placements & most accessible career for his condition. dream — closes ~406 (above his rank), zero cost to list on top."
134,NIT,National Institute of Technology Durgapur,411F,B.Tech in Mathematics and Computing,Borderline,"Top-15 NIT, farther, but brand justifies. Maths & Computing — places like CSE, strong analytics/software path. borderline — right at the line (~430)."
135,NIT,National Institute of Technology Durgapur,4114,Electronics and Communication Engineering,Out,"Top-15 NIT, farther, but brand justifies. ECE — strong circuit branch, software-convertible. dream — closes ~506 (above his rank), zero cost to list on top."
