Priority,Type,Institute,BranchCode,Branch,Reach,Reason
38,NIT,Maulana Azad National Institute of Technology Bhopal,4110,Computer Science and Engineering,Out,"Top-15 NIT, South/Central. CSE — best placements & most accessible for his condition. dream — closes ~136, free to list on top."
39,NIT,"Visvesvaraya National Institute of Technology, Nagpur",4114,Electronics and Communication Engineering,Out,"Top-15 NIT, near Hyderabad. ECE — strong circuit branch, software-convertible. dream — closes ~200, free to list on top."
40,NIT,"National Institute of Technology, Warangal",413O,Electrical and Electronics Engineering (Electric Mobility),No-data,"Top-5 NIT, home state. Home quota = big edge. EEE — solid circuit branch. no PwD-cutoff history."
41,NIT,"National Institute of Technology, Warangal",4144,Electrical and Electronics Engineering,Reach,"Top-5 NIT, home state. Home quota = big edge. EEE — solid circuit branch. reach (~356)."
42,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",4124,Mathematics and Computing,No-data,"Top-15 NIT, far, brand-justified. Maths & Computing — places like CSE. no PwD-cutoff history."
43,NIT,"National Institute of Technology, Kurukshetra",4110,Computer Science and Engineering,Out,"Top-15 NIT, far, brand-justified. CSE — best placements & most accessible for his condition. dream — closes ~93, free to list on top."
44,NIT,"National Institute of Technology, Kurukshetra",5216,Computer Science and Engineering,Out,"Top-15 NIT, far, brand-justified. CSE — best placements & most accessible for his condition. dream — closes ~7283, free to list on top."
45,NIT,Malaviya National Institute of Technology Jaipur,4114,Electronics and Communication Engineering,Out,"Top-15 NIT, far, brand-justified. ECE — strong circuit branch, software-convertible. dream — closes ~90, free to list on top."
46,NIT,National Institute of Technology Calicut,4144,Electrical and Electronics Engineering,Out,"Top-5 NIT, South/Central. EEE — solid circuit branch. dream — closes ~264, free to list on top."
47,NIT,"National Institute of Technology, Tiruchirappalli",4148,Instrumentation and Control Engineering,Good,"Top-5 NIT, South/Central. Instrumentation — circuit-adjacent. likely (~503)."
48,NIT,National Institute of Technology Durgapur,411F,B.Tech in Mathematics and Computing,Borderline,"Top-15 NIT, far, brand-justified. Maths & Computing — places like CSE. borderline (~430)."
49,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",410V,Electronics and VLSI Engineering,Borderline,"Top-15 NIT, far, brand-justified. ECE-VLSI — chip/embedded, desk-based. borderline (~1105)."
50,NIT,"National Institute of Technology, Jamshedpur",4110,Computer Science and Engineering,Out,"Top-15 NIT, far, brand-justified. CSE — best placements & most accessible for his condition. dream — closes ~294, free to list on top."
51,NIT,Maulana Azad National Institute of Technology Bhopal,520F,Mathematics and Data Science,Out,"Top-15 NIT, South/Central. AI/Data Science — high-demand software track. dream — closes ~14961, free to list on top."
52,NIT,"National Institute of Technology, Tiruchirappalli",4125,Mechanical Engineering,Out,"Top-5 NIT, South/Central. Mechanical — core; classroom/design-heavy, can pivot to software. dream — closes ~222, free to list on top."
53,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",4146,Information Technology,Borderline,"Top-15 NIT, far, brand-justified. IT — software-default, desk-based. borderline (~424)."
54,NIT,Motilal Nehru National Institute of Technology Allahabad,4114,Electronics and Communication Engineering,Out,"Top-15 NIT, far, brand-justified. ECE — strong circuit branch, software-convertible. dream — closes ~184, free to list on top."
55,NIT,"Visvesvaraya National Institute of Technology, Nagpur",4144,Electrical and Electronics Engineering,Good,"Top-15 NIT, near Hyderabad. EEE — solid circuit branch. likely (~516)."
56,NIT,"National Institute of Technology, Silchar",4110,Computer Science and Engineering,Out,"Top-15 NIT, far, brand-justified. CSE — best placements & most accessible for his condition. dream — closes ~220, free to list on top."
57,NIT,"National Institute of Technology, Kurukshetra",410P,Artificial Intelligence and Machine Learning,Out,"Top-15 NIT, far, brand-justified. AI/Data Science — high-demand software track. dream — closes ~161, free to list on top."
58,NIT,"National Institute of Technology, Kurukshetra",4188,Artificial Intelligence and Data Science,Out,"Top-15 NIT, far, brand-justified. AI/Data Science — high-demand software track. dream — closes ~3237, free to list on top."
59,NIT,"National Institute of Technology Karnataka, Surathkal",4125,Mechanical Engineering,Out,"Top-5 NIT, South/Central. Mechanical — core; classroom/design-heavy, can pivot to software. dream — closes ~257, free to list on top."
60,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",4114,Electronics and Communication Engineering,Borderline,"Top-15 NIT, far, brand-justified. ECE — strong circuit branch, software-convertible. borderline (~439)."
61,NIT,Malaviya National Institute of Technology Jaipur,4111,Electrical Engineering,Good,"Top-15 NIT, far, brand-justified. EEE — solid circuit branch. likely (~507)."
62,NIT,"National Institute of Technology, Tiruchirappalli",4145,Production Engineering,Good,"Top-5 NIT, South/Central. Production — core; decent at top NITs. likely (~544)."
63,NIT,"National Institute of Technology, Kurukshetra",4124,Mathematics and Computing,Out,"Top-15 NIT, far, brand-justified. Maths & Computing — places like CSE. dream — closes ~269, free to list on top."
64,NIT,"National Institute of Technology, Rourkela",4125,Mechanical Engineering,Borderline,"Top-5 NIT, South/Central. Mechanical — core; classroom/design-heavy, can pivot to software. borderline (~399)."
65,NIT,Motilal Nehru National Institute of Technology Allahabad,4111,Electrical Engineering,Reach,"Top-15 NIT, far, brand-justified. EEE — solid circuit branch. reach (~361)."
66,IIIT,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",4110,Computer Science and Engineering,Reach,"Top IIIT, South/Central. CSE — best placements & most accessible for his condition. reach (~330)."
67,NIT,"National Institute of Technology, Warangal",4125,Mechanical Engineering,Borderline,"Top-5 NIT, home state. Home quota = big edge. Mechanical — core; classroom/design-heavy, can pivot to software. borderline (~455)."
68,NIT,"National Institute of Technology, Kurukshetra",4146,Information Technology,Out,"Top-15 NIT, far, brand-justified. IT — software-default, desk-based. dream — closes ~111, free to list on top."
69,NIT,National Institute of Technology Durgapur,4114,Electronics and Communication Engineering,Out,"Top-15 NIT, far, brand-justified. ECE — strong circuit branch, software-convertible. dream — closes ~506, free to list on top."
70,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",4111,Electrical Engineering,Good,"Top-15 NIT, far, brand-justified. EEE — solid circuit branch. likely (~611)."
71,NIT,"National Institute of Technology, Tiruchirappalli",4107,Chemical Engineering,Out,"Top-5 NIT, South/Central. Chemical — core; lab/process. dream — closes ~196, free to list on top."
72,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",4153,Electronics and Telecommunication Engineering,Good,"Top-15 NIT, far, brand-justified. Electronics — circuit branch. likely (~685)."
73,NIT,"National Institute of Technology, Rourkela",4155,Industrial Design,Out,"Top-5 NIT, South/Central. Production — core; decent at top NITs. dream — closes ~24030, free to list on top."
74,NIT,"National Institute of Technology, Rourkela",5258,Ceramic Engineering and M.Tech Industrial Ceramic,Out,"Top-5 NIT, South/Central. Production — core; decent at top NITs. dream — closes ~45200, free to list on top."
75,NIT,"National Institute of Technology, Kurukshetra",412B,Microelectronics & VLSI Engineering,Out,"Top-15 NIT, far, brand-justified. ECE-VLSI — chip/embedded, desk-based. dream — closes ~5641, free to list on top."
76,IIIT,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,4110,Computer Science and Engineering,Out,"Top IIIT, far, brand-justified. CSE — best placements & most accessible for his condition. dream — closes ~229, free to list on top."
77,NIT,National Institute of Technology Calicut,4125,Mechanical Engineering,Borderline,"Top-5 NIT, South/Central. Mechanical — core; classroom/design-heavy, can pivot to software. borderline (~428)."
78,NIT,Maulana Azad National Institute of Technology Bhopal,4114,Electronics and Communication Engineering,Reach,"Top-15 NIT, South/Central. ECE — strong circuit branch, software-convertible. reach (~304)."
79,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",4111,Electrical Engineering,SAFE,"Top-15 NIT, far, brand-justified. EEE — solid circuit branch. SAFE (closes ~2208)."
80,NIT,"National Institute of Technology Karnataka, Surathkal",4107,Chemical Engineering,Good,"Top-5 NIT, South/Central. Chemical — core; lab/process. likely (~495)."
81,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",4110,Computer Science and Engineering,Out,"Top IIIT, near Hyderabad. CSE — best placements & most accessible for his condition. dream — closes ~208, free to list on top."
82,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",5216,Computer Science and Engineering,Reach,"Top IIIT, near Hyderabad. CSE — best placements & most accessible for his condition. reach (~313)."
83,NIT,"Visvesvaraya National Institute of Technology, Nagpur",4125,Mechanical Engineering,Good,"Top-15 NIT, near Hyderabad. Mechanical — core; classroom/design-heavy, can pivot to software. likely (~487)."
84,NIT,"National Institute of Technology, Kurukshetra",4114,Electronics and Communication Engineering,Out,"Top-15 NIT, far, brand-justified. ECE — strong circuit branch, software-convertible. dream — closes ~183, free to list on top."
85,NIT,"National Institute of Technology, Kurukshetra",5234,Electronics and Communication Engineering,Out,"Top-15 NIT, far, brand-justified. ECE — strong circuit branch, software-convertible. dream — closes ~4874, free to list on top."
86,NIT,National Institute of Technology Durgapur,4111,Electrical Engineering,Good,"Top-15 NIT, far, brand-justified. EEE — solid circuit branch. likely (~675)."
87,NIT,"National Institute of Technology, Rourkela",4107,Chemical Engineering,Reach,"Top-5 NIT, South/Central. Chemical — core; lab/process. reach (~788)."
88,NIT,"National Institute of Technology, Rourkela",5210,Chemical Engineering,No-data,"Top-5 NIT, South/Central. Chemical — core; lab/process. no PwD-cutoff history."
89,NIT,"National Institute of Technology, Tiruchirappalli",4109,Civil Engineering,Out,"Top-5 NIT, South/Central. Civil — core, more field-oriented (weigh mobility). dream — closes ~270, free to list on top."
90,NIT,National Institute of Technology Calicut,4145,Production Engineering,SAFE,"Top-5 NIT, South/Central. Production — core; decent at top NITs. SAFE (closes ~1002)."
91,IIIT,Indian Institute of Information Technology Lucknow,410C,Computer Science and Business,Borderline,"Top IIIT, far, brand-justified. CSE — best placements & most accessible for his condition. borderline (~459)."
92,IIIT,Indian Institute of Information Technology Lucknow,4184,Computer Science,Reach,"Top IIIT, far, brand-justified. CSE — best placements & most accessible for his condition. reach (~362)."
93,NIT,Malaviya National Institute of Technology Jaipur,4125,Mechanical Engineering,Borderline,"Top-15 NIT, far, brand-justified. Mechanical — core; classroom/design-heavy, can pivot to software. borderline (~1006)."
94,IIIT,"Indian Institute of Information Technology, Allahabad",4146,Information Technology,Out,"Top IIIT, far, brand-justified. IT — software-default, desk-based. dream — closes ~210, free to list on top."
95,IIIT,"Indian Institute of Information Technology, Allahabad",4186,Information Technology-Business Informatics,Out,"Top IIIT, far, brand-justified. IT — software-default, desk-based. dream — closes ~198, free to list on top."
96,IIIT,"Indian Institute of Information Technology, Allahabad",5280,Information Technology,No-data,"Top IIIT, far, brand-justified. IT — software-default, desk-based. no PwD-cutoff history."
97,IIIT,"Indian Institute of Information Technology, Allahabad",5424,B. Tech. Information Technology-Business Informatics (IT- BIn) - Master of Business Administration (MBA),No-data,"Top IIIT, far, brand-justified. IT — software-default, desk-based. no PwD-cutoff history."
98,NIT,"National Institute of Technology, Jamshedpur",4114,Electronics and Communication Engineering,Borderline,"Top-15 NIT, far, brand-justified. ECE — strong circuit branch, software-convertible. borderline (~390)."
99,NIT,Maulana Azad National Institute of Technology Bhopal,4111,Electrical Engineering,Good,"Top-15 NIT, South/Central. EEE — solid circuit branch. likely (~570)."
100,NIT,Maulana Azad National Institute of Technology Bhopal,412X,Energy and Electrical Vehicle Engineering,Out,"Top-15 NIT, South/Central. EEE — solid circuit branch. dream — closes ~25974, free to list on top."
101,NIT,Maulana Azad National Institute of Technology Bhopal,413N,Electrical Engineering with E Mobility,No-data,"Top-15 NIT, South/Central. EEE — solid circuit branch. no PwD-cutoff history."
102,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",4196,Computer Science and Engineering with Major in Artificial Intelligence,Out,"Top IIIT, near Hyderabad. CSE+AI/DS — elite software placements, ideal desk-role fit. dream — closes ~267, free to list on top."
103,NIT,"National Institute of Technology, Warangal",4107,Chemical Engineering,Reach,"Top-5 NIT, home state. Home quota = big edge. Chemical — core; lab/process. reach (~811)."
104,NIT,"National Institute of Technology, Warangal",5210,Chemical Engineering,Out,"Top-5 NIT, home state. Home quota = big edge. Chemical — core; lab/process. dream — closes ~31919, free to list on top."
105,NIT,"National Institute of Technology Karnataka, Surathkal",4109,Civil Engineering,Reach,"Top-5 NIT, South/Central. Civil — core, more field-oriented (weigh mobility). reach (~368)."
106,IIIT,Indian Institute of Information Technology (IIIT) Nagpur,410G,Computer Science Engineering (Human Computer lnteraction and Gaming Technology),Good,"Top IIIT, near Hyderabad. CSE — best placements & most accessible for his condition. likely (~610)."
107,IIIT,Indian Institute of Information Technology (IIIT) Nagpur,4110,Computer Science and Engineering,Good,"Top IIIT, near Hyderabad. CSE — best placements & most accessible for his condition. likely (~666)."
108,NIT,Motilal Nehru National Institute of Technology Allahabad,4125,Mechanical Engineering,Borderline,"Top-15 NIT, far, brand-justified. Mechanical — core; classroom/design-heavy, can pivot to software. borderline (~403)."
109,NIT,"National Institute of Technology, Silchar",4114,Electronics and Communication Engineering,Borderline,"Top-15 NIT, far, brand-justified. ECE — strong circuit branch, software-convertible. borderline (~970)."
110,NIT,"National Institute of Technology, Kurukshetra",4111,Electrical Engineering,Good,"Top-15 NIT, far, brand-justified. EEE — solid circuit branch. likely (~547)."
111,NIT,"National Institute of Technology, Kurukshetra",5217,Electrical Engineering,Out,"Top-15 NIT, far, brand-justified. EEE — solid circuit branch. dream — closes ~373, free to list on top."
112,IIIT,Indian Institute of Information Technology Lucknow,4190,Computer Science and Artificial Intelligence,Borderline,"Top IIIT, far, brand-justified. CSE+AI/DS — elite software placements, ideal desk-role fit. borderline (~451)."
113,NIT,National Institute of Technology Calicut,4107,Chemical Engineering,Good,"Top-5 NIT, South/Central. Chemical — core; lab/process. likely (~573)."
114,NIT,"National Institute of Technology, Rourkela",4109,Civil Engineering,Borderline,"Top-5 NIT, South/Central. Civil — core, more field-oriented (weigh mobility). borderline (~427)."
115,NIT,"National Institute of Technology, Tiruchirappalli",4127,Metallurgical and Materials Engineering,Reach,"Top-5 NIT, South/Central. Metallurgy — core; brand-dependent. reach (~797)."
116,IIIT,Indian Institute of Information Technology (IIIT) Pune,4110,Computer Science and Engineering,Good,"Top IIIT, South/Central. CSE — best placements & most accessible for his condition. likely (~578)."
117,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",4125,Mechanical Engineering,SAFE,"Top-15 NIT, far, brand-justified. Mechanical — core; classroom/design-heavy, can pivot to software. SAFE (closes ~814)."
118,IIIT,"Indian Institute of Information Technology, Allahabad",4114,Electronics and Communication Engineering,Reach,"Top IIIT, far, brand-justified. ECE — strong circuit branch, software-convertible. reach (~288)."
119,IIIT,"Indian Institute of Information Technology, Allahabad",5234,Electronics and Communication Engineering,No-data,"Top IIIT, far, brand-justified. ECE — strong circuit branch, software-convertible. no PwD-cutoff history."
120,NIT,"National Institute of Technology, Jamshedpur",4111,Electrical Engineering,Good,"Top-15 NIT, far, brand-justified. EEE — solid circuit branch. likely (~539)."
121,IIIT,Indian Institute of Information Technology (IIIT) Nagpur,410E,Computer Science Engineering (Artificial lntelligence and Machine Learning),No-data,"Top IIIT, near Hyderabad. CSE+AI/DS — elite software placements, ideal desk-role fit. no PwD-cutoff history."
122,IIIT,Indian Institute of Information Technology (IIIT) Nagpur,410F,Computer Science Engineering (Data Science and Analytics),Good,"Top IIIT, near Hyderabad. CSE+AI/DS — elite software placements, ideal desk-role fit. likely (~679)."
123,NIT,"Visvesvaraya National Institute of Technology, Nagpur",4107,Chemical Engineering,SAFE,"Top-15 NIT, near Hyderabad. Chemical — core; lab/process. SAFE (closes ~1179)."
124,NIT,"Visvesvaraya National Institute of Technology, Nagpur",413Y,Chemical Technology (Bioprocess Technology),No-data,"Top-15 NIT, near Hyderabad. Chemical — core; lab/process. no PwD-cutoff history."
125,NIT,"National Institute of Technology, Silchar",4142,Electronics and Instrumentation Engineering,Good,"Top-15 NIT, far, brand-justified. Electronics — circuit branch. likely (~1439)."
126,NIT,"National Institute of Technology, Warangal",4109,Civil Engineering,Out,"Top-5 NIT, home state. Home quota = big edge. Civil — core, more field-oriented (weigh mobility). dream — closes ~531, free to list on top."
127,NIT,"National Institute of Technology Karnataka, Surathkal",4127,Metallurgical and Materials Engineering,Good,"Top-5 NIT, South/Central. Metallurgy — core; brand-dependent. likely (~531)."
128,IIIT,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan",4110,Computer Science and Engineering,SAFE,"Top IIIT, far, brand-justified. CSE — best placements & most accessible for his condition. SAFE (closes ~1201)."
129,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",4125,Mechanical Engineering,SAFE,"Top-15 NIT, far, brand-justified. Mechanical — core; classroom/design-heavy, can pivot to software. SAFE (closes ~3780)."
130,IIIT,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",4114,Electronics and Communication Engineering,Good,"Top IIIT, South/Central. ECE — strong circuit branch, software-convertible. likely (~672)."
131,NIT,"National Institute of Technology, Silchar",4111,Electrical Engineering,Good,"Top-15 NIT, far, brand-justified. EEE — solid circuit branch. likely (~769)."
132,NIT,Malaviya National Institute of Technology Jaipur,4107,Chemical Engineering,SAFE,"Top-15 NIT, far, brand-justified. Chemical — core; lab/process. SAFE (closes ~840)."
133,NIT,National Institute of Technology Calicut,4109,Civil Engineering,Borderline,"Top-5 NIT, South/Central. Civil — core, more field-oriented (weigh mobility). borderline (~434)."
134,NIT,"National Institute of Technology, Rourkela",4106,Ceramic Engineering,SAFE,"Top-5 NIT, South/Central. core/other — backup. SAFE (closes ~2228)."
135,NIT,"National Institute of Technology, Rourkela",4127,Metallurgical and Materials Engineering,Good,"Top-5 NIT, South/Central. Metallurgy — core; brand-dependent. likely (~641)."
136,NIT,"National Institute of Technology, Rourkela",4169,Food Process Engineering,Out,"Top-5 NIT, South/Central. core/other — backup. dream — closes ~40010, free to list on top."
137,NIT,"National Institute of Technology, Rourkela",5243,Metallurgical and Materials Engineering,Out,"Top-5 NIT, South/Central. Metallurgy — core; brand-dependent. dream — closes ~13259, free to list on top."
138,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",410B,Industrial Chemistry,SAFE,"Top-15 NIT, far, brand-justified. Production — core; decent at top NITs. SAFE (closes ~3431)."
139,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",523T,B.Tech. in Electronics and Communication Engineering and M.Tech. in Microelectronics and VLSI Systems,Good,"Top IIIT, near Hyderabad. ECE-VLSI — chip/embedded, desk-based. likely (~1371)."
140,GFTI,University of Hyderabad,5314,Computer Science and Engineering,No-data,"Premium GFTI, near Hyderabad. CSE — best placements & most accessible for his condition. no PwD-cutoff history."
141,IIIT,Indian Institute of Information Technology (IIIT) Pune,4188,Artificial Intelligence and Data Science,No-data,"Top IIIT, South/Central. AI/Data Science — high-demand software track. no PwD-cutoff history."
142,NIT,National Institute of Technology Durgapur,4125,Mechanical Engineering,SAFE,"Top-15 NIT, far, brand-justified. Mechanical — core; classroom/design-heavy, can pivot to software. SAFE (closes ~961)."
143,IIIT,Indian Institute of Information Technology Lucknow,4146,Information Technology,Out,"Top IIIT, far, brand-justified. IT — software-default, desk-based. dream — closes ~236, free to list on top."
144,NIT,Motilal Nehru National Institute of Technology Allahabad,4107,Chemical Engineering,Good,"Top-15 NIT, far, brand-justified. Chemical — core; lab/process. likely (~750)."
145,NIT,"Visvesvaraya National Institute of Technology, Nagpur",4109,Civil Engineering,SAFE,"Top-15 NIT, near Hyderabad. Civil — core, more field-oriented (weigh mobility). SAFE (closes ~1047)."
146,NIT,"National Institute of Technology, Warangal",4127,Metallurgical and Materials Engineering,Borderline,"Top-5 NIT, home state. Home quota = big edge. Metallurgy — core; brand-dependent. borderline (~1125)."
147,NIT,"National Institute of Technology, Warangal",5243,Metallurgical and Materials Engineering,Out,"Top-5 NIT, home state. Home quota = big edge. Metallurgy — core; brand-dependent. dream — closes ~45837, free to list on top."
148,NIT,"National Institute of Technology Karnataka, Surathkal",4130,Mining Engineering,Out,"Top-5 NIT, South/Central. core/other — backup. dream — closes ~28750, free to list on top."
149,GFTI,"Punjab Engineering College, Chandigarh",4110,Computer Science and Engineering,No-data,"Premium GFTI, far, brand-justified. CSE — best placements & most accessible for his condition. no PwD-cutoff history."
150,IIIT,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan",411G,Artificial Intelligence and Data Engineering,SAFE,"Top IIIT, far, brand-justified. AI/Data Science — high-demand software track. SAFE (closes ~1138)."
151,NIT,Maulana Azad National Institute of Technology Bhopal,4125,Mechanical Engineering,SAFE,"Top-15 NIT, South/Central. Mechanical — core; classroom/design-heavy, can pivot to software. SAFE (closes ~839)."
152,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",4114,Electronics and Communication Engineering,Good,"Top IIIT, near Hyderabad. ECE — strong circuit branch, software-convertible. likely (~494)."
